M/Z,Intensity
-7.8602611e-005,4.1870287
2.1773576e-007,4.197084
9.6021472e-005,4.0965309
0.00036601382,4.2111614
0.00081019477,4.0703871
0.0014285643,3.9939668
0.0022211225,3.9919558
0.0031878693,4.0221217
0.0043288047,4.0824535
0.0056439287,4.0643539
0.0071332413,4.0623429
0.0087967426,4.0261438
0.010634432,4.164907
0.012646311,4.2272499
0.014832378,4.3660131
0.017192634,4.2051282
0.019727078,3.9939668
0.022435711,3.8873806
0.025318532,4.0281549
0.028375542,4.1709402
0.031606741,4.3599799
0.035012128,4.4142785
0.038591704,4.4002011
0.042345469,4.3097034
0.046273422,4.2111614
0.050375564,4.166918
0.054651894,4.0925088
0.059102413,4.164907
0.063727121,4.1287079
0.068526017,4.2795375
0.073499102,4.3177476
0.078646375,4.2795375
0.083967837,4.1568627
0.089463488,4.0563097
0.095133327,4.0764203
0.10097736,4.0784314
0.10699557,4.1608849
0.11318798,4.3217697
0.11955457,4.3479135
0.12609535,4.3800905
0.13281032,4.2493715
0.13969948,4.1890397
0.14676283,4.1407743
0.15400037,4.0945199
0.16141209,4.0603318
0.16899801,4.1266968
0.17675811,4.100553
0.1846924,4.1387632
0.19280088,4.0884867
0.20108355,4.098542
0.20954041,4.0462544
0.21817145,4.0402212
0.22697669,4.1065862
0.23595611,4.100553
0.24510972,4.1347411
0.25443752,4.1447964
0.26393951,4.098542
0.27361569,4.0100553
0.28346605,4.0060332
0.29349061,3.9839115
0.30368935,4.0422323
0.31406228,4.1065862
0.3246094,4.1809955
0.33533071,4.1789844
0.34622621,4.1729512
0.3572959,4.2433384
0.36853977,4.2192056
0.37995783,4.1930618
0.39155009,4.2192056
0.40331653,4.2835596
0.41525716,4.263449
0.42737197,4.3117144
0.43966098,4.2735043
0.45212418,4.2594268
0.46476156,4.2292609
0.47757313,4.2795375
0.49055889,4.2755153
0.50371884,4.2151835
0.51705298,4.2131724
0.53056131,4.2111614
0.54424382,4.2091503
0.55810053,4.1628959
0.57213142,4.164907
0.5863365,4.1508296
0.60071577,4.1085973
0.61526923,4.1106083
0.62999688,4.0844646
0.64489871,4.0784314
0.65997473,4.0382102
0.67522495,4.0723982
0.69064935,4.0683761
